”NŒŽ“ú,•½‹Ï‰_—Ê(10•ª”ä)
2018/8/19,6.8
2018/8/20,7.5
2018/8/21,8.8
2018/8/22,5.8
2018/8/23,4.8
2018/8/24,10
2018/8/25,10
2018/8/26,10
2018/8/27,9.8
2018/8/28,7.3
2018/8/29,9.3
2018/8/30,10
2018/8/31,10
2018/9/1,8.5
2018/9/2,5.3
2018/9/3,2.8
2018/9/4,6.5
2018/9/5,9.3
2018/9/6,6.5
2018/9/7,10
2018/9/8,10
2018/9/9,10
2018/9/10,10
2018/9/11,1.8
2018/9/12,6
2018/9/13,7.3
2018/9/14,8.5
2018/9/15,6.5
2018/9/16,9.8
2018/9/17,6.8
2018/9/18,6.8
2018/9/19,4.3
2018/9/20,7
2018/9/21,10
2018/9/22,10
2018/9/23,7.3
2018/9/24,9.8
2018/9/25,10
2018/9/26,7
2018/9/27,10
2018/9/28,7.8
2018/9/29,10
2018/9/30,10
2018/10/1,9.8
2018/10/2,8.5
2018/10/3,6.5
2018/10/4,5
2018/10/5,9.8
2018/10/6,8.8
2018/10/7,10
2018/10/8,5
2018/10/9,8.5
2018/10/10,10
2018/10/11,10
2018/10/12,8.8
2018/10/13,6
2018/10/14,4
2018/10/15,4.8
2018/10/16,7.5
2018/10/17,7
2018/10/18,3
2018/10/19,6.5
2018/10/20,4.5
2018/10/21,0.3
2018/10/22,5
2018/10/23,6.5
2018/10/24,6
2018/10/25,2.3
2018/10/26,5
2018/10/27,9.5
2018/10/28,9
2018/10/29,9.3
2018/10/30,10
2018/10/31,8.5
2018/11/1,7.8
2018/11/2,3
2018/11/3,5.5
2018/11/4,7
2018/11/5,3.8
2018/11/6,7
2018/11/7,6.5
2018/11/8,4.8
2018/11/9,8.5
2018/11/10,6.3
2018/11/11,3.8
2018/11/12,7.8
2018/11/13,3.3
2018/11/14,4
2018/11/15,9.8
2018/11/16,9.5
2018/11/17,8.5
2018/11/18,8.3
2018/11/19,9
2018/11/20,8.3
2018/11/21,8.3
2018/11/22,10
2018/11/23,9.8
2018/11/24,6.8
2018/11/25,6.8
2018/11/26,4.3
2018/11/27,9.5
2018/11/28,10
2018/11/29,7.5
2018/11/30,8.5
2018/12/1,9.3
2018/12/2,0.8
2018/12/3,6.3
2018/12/4,10
2018/12/5,8
2018/12/6,9.8
2018/12/7,9.5
2018/12/8,10
2018/12/9,9.3
2018/12/10,9.5
2018/12/11,10
2018/12/12,7.8
2018/12/13,10
2018/12/14,9.5
2018/12/15,10
2018/12/16,10
2018/12/17,10
2018/12/18,10
2018/12/19,10
2018/12/20,8.8
2018/12/21,9
2018/12/22,8.3
2018/12/23,10
2018/12/24,8.3
2018/12/25,8.5
2018/12/26,10
2018/12/27,10
2018/12/28,10
2018/12/29,9.5
2018/12/30,6.8
2018/12/31,9.5
